Total_Demand,RRP,Maximum_Temp,Minimum_Temp,Rainfall,Solar_Exposure
77691.94,62.11791667,13.1,9,8,4.9
56080.04,62.17583333,10.9,4.1,18.8,10.3
71939.67,62.2075,14.3,7.3,0,8.5
295641.35,62.39333333,22.7,13.2,4.8,13.5
261131.16,62.489375,14.1,9.5,0,8.3
271741.1,62.49270833,26.4,14.6,0,13.7
275669.25,62.62041667,20.1,9.3,0,14.6
384909.39,62.66583333,20.2,10.8,2.4,10.6
278929.35,62.74354167,23.7,11.9,0,17.1
326611.28,62.77625,25.3,16.6,0,14.7
378234.2,62.77895833,20.1,11.3,1.2,9.9
415429.89,62.93395833,20,10.7,0,12
229321.8,63.17979167,19.4,6,0.4,9.3
401955.16,63.375,20.7,10.5,0,12.3
289826.55,63.56229167,21.8,12.6,0,11.8
347083.15,63.61041667,23.3,14,0,10.1
52179.95,63.77770833,32,19.3,0,12.5
56752.81,63.78166667,11.6,2.1,0,7.3
424715.41,64.05208333,18.7,10.7,2.2,10.7
56233.37,64.16541667,16.2,1.9,0.2,12.3
282681.34,64.253125,23.8,9.9,0,17.5
59289.18,64.28208333,22.8,14,1.2,9.6
275336.06,64.28729167,26.4,16.3,3.2,17.8
60661.98,64.49291667,16.8,3.6,0,10
339562.36,64.548125,23.8,13.8,0,10.3
285264.32,64.62291667,29.6,19.8,3.2,19.6
57522.41,64.89166667,18.1,4.9,0,4.9
62613.91,64.954375,13.6,10,3.6,6.6
288035.32,64.96791667,24.3,10.7,0,15
191308.72,65.08958333,30.2,10.2,0,13.9
55928.9,65.15416667,15.5,10.5,0.3,3.2
271909.14,65.21479167,26.6,16.5,0,17.2
274289.2,65.21541667,24.9,13.7,0,14.4
263039.18,65.33708333,24.8,13.9,5.2,16.7
63960.03,65.37583333,14.8,12.7,1.8,5.3
357156.12,65.396875,27.1,17.1,0.1,13.3
281744.41,65.42625,26.4,12.6,0,16.5
369378.46,65.63770833,17.4,11.8,0,14.7
269372.85,65.67520833,24.8,10.9,0,14.3
