Total_Demand,RRP,Maximum_Temp,Minimum_Temp,Rainfall,Solar_Exposure
272847.04,26.28979167,31.4,18.6,0,19.3
334280.32,26.29354167,26.8,8.5,0,17.2
53181.06,26.364375,21.2,10.7,0,10
44305.13,26.45916667,23.4,9.4,0,19.9
209094.68,26.500625,23.5,15.6,0,11.8
53076.25,26.60145833,21.3,14,2.4,8.7
56399.49,26.9,15,9.2,3.2,6.1
54659.31,26.939375,15.9,9.2,0,7.2
262255.25,27.01958333,25.1,10.1,0,15
54175.56,27.14145833,16.9,7.4,0,8.4
57012.5,27.15083333,17.3,5.4,0,9.6
241535.59,27.22625,14.8,10.3,0,8.5
193701.56,27.23333333,20,15.4,0.8,17.1
242615.68,27.42166667,19.8,11.2,4.4,3.6
276414.22,27.62229167,24.8,11.7,0,14
61374.02,27.6275,8.7,2,0,6
45385.1,27.776875,25.6,14.5,0,23
280907.22,27.81041667,24.4,14.1,0.2,13.5
53675.32,27.83125,23.8,17.3,0,14.6
55178.15,27.84125,22.9,12,0,13.3
192032.38,27.88,17.9,13.1,1,12.3
215728.89,27.90875,29.4,17.4,0,27.5
64709.89,27.96645833,16.7,12.2,13.6,9.5
275392.12,28.015625,19.2,13.1,1.8,9.3
281129.7,28.20333333,25.9,13.9,0,13.9
283068.33,28.36479167,25.2,15.4,11.4,13.1
263178.28,28.36645833,28.7,17.2,0,17.8
259892.3,28.50041667,27.1,14.7,0,15.5
58533.88,28.57875,14.2,7.4,0,3.2
283175.22,28.60854167,23.4,10.9,,13.3
205369.18,28.74708333,17.8,12.4,0.6,8
62763.52,28.7525,15.7,8.9,10.8,10.1
228130.64,28.79020833,15.3,8.2,0,7.6
49757.8,28.79666667,22.6,15.7,0.6,21.7
277533.67,28.83708333,28.2,17.7,0,16.3
60283.16,28.85125,13.9,5.6,0,3.9
45116.38,28.9775,24.1,10.5,0,21.6
213055.89,28.985,21.5,15.4,0.4,11.3
276925.59,29.02083333,24.8,18.6,4,5.9
329483.17,29.09625,27.2,15.4,0,11.1
262352.83,29.13520833,24.8,13.6,0,14
242706.66,29.17729167,15.5,8.9,24.4,5.4
76017.89,29.198125,15,11.9,0.2,3.9
286184.65,29.20479167,22.4,10.9,0.8,13.6
259832.38,29.22729167,25.8,11.6,0,16.6
271019.86,29.22770833,24.7,13.4,0,10.9
240298.87,29.29666667,17.8,6.4,0,8.6
310926.18,29.31833333,27.2,14.5,0,15.1
52387.32,29.3425,14.6,8.4,0.2,9.4
277122.92,29.36645833,21.7,9.3,0,15.7
213886.98,29.48145833,18.4,11.4,0,10.1
46443.99,29.5275,21.3,10.8,0,20.7
62381,29.6175,15.1,11.7,3.6,7.4
49355.27,29.63125,22.1,13.8,36,9.8
279741.95,29.63625,24.6,15.6,0.4,11
285798.18,29.6375,23.3,8.3,0,15.9
373466.09,29.75875,20.4,7.1,0,11.5
215828.11,29.82083333,19.6,12.6,0,10.7
253431.56,29.82375,21.2,10.5,0,18.7
279208.2,29.86479167,26.3,14.4,1.4,14.6
293132.91,29.88583333,19.3,13.1,1.8,13.8
55252.72,29.88645833,15.4,3.3,0,7.1
288475.91,29.91958333,22.2,10.3,0,11.6
63052.48,30.08354167,33,21.5,0.2,27
47718.15,30.1225,26.9,13,0,25.9
56178.98,30.13875,12.9,6.9,23,1.5
57430.76,30.20354167,9.9,3.1,0,4.9
195329.87,30.28166667,18.8,12.7,0,10.2
234788.91,30.4225,16.4,5.7,0,3.4
257901.64,30.44791667,26,16.4,0,13.1
291108.8,30.52541667,26,19.1,0,12.4
69305.53,30.53145833,12.9,9.2,7.6,9.8
293573.62,30.68166667,26.9,20,0,13.5
69863.36,30.69208333,15.7,8.1,0,10.1
282273.41,30.700625,24.2,15.3,0,10.4
257016.77,30.743125,22.5,15.6,0,16.5
57297.99,30.79166667,16,9,0,7.8
53900.48,30.79291667,12.9,8.7,6.8,6.6
275289.73,30.83458333,15.2,3,0,7.7
282862.77,30.86145833,27.4,16.7,0,16.1
263754.83,30.86208333,26.7,10.3,0,19.4
58212.79,30.88083333,18.6,13.1,2.2,9.5
226943.66,30.91625,18.1,8.1,0.6,12.5
58791.02,30.9625,15.3,8.6,0,4.1
67876.75,31.01083333,14.6,10.6,10.6,9.4
283935.52,31.0225,28.5,16.5,0,18.7
286755.14,31.10479167,22.5,11.3,0,13.4
67664.41,31.14666667,14.9,10.4,0.6,2.8
253229.44,31.1975,17.4,9.8,0,9.1
265302.99,31.238125,24.5,14.5,0,15.9
255217.06,31.28395833,24.9,14.5,0,14.2
43835.04,31.37145833,18.8,11.4,0,16.9
55785.42,31.44020833,12.9,5.1,4.7,5.1
248947.34,31.484375,17.9,13,0,6.7
57489.52,31.50958333,17,7.8,0,8.5
271434.46,31.54229167,21.1,7.6,0,14
281062.37,31.595625,25.1,15.3,0,12.7
289590.25,31.6225,28,18.4,0,20.9
286508.9,31.674375,23.8,15,1.2,11.2
344573.61,31.708125,28.3,15,0,13.3
60685.88,31.75541667,12.3,1.9,0,7
342123.99,31.77354167,27.3,17.6,0,5.6
58315.56,31.85145833,16.9,5.3,0.2,7.5
57771.78,31.85729167,19.6,14.6,0,10.1
332110.56,31.89833333,27.7,17,0,16.3
345588.15,31.93979167,24.5,18.8,0.4,8.5
287956.29,32.106875,27,17.6,0,15.6
277533.93,32.10791667,22.6,8,,19
341617.3,32.13375,25.1,18.8,69.2,7.5
264079.41,32.153125,11.2,9.3,5.2,2.6
255066.61,32.191875,25.1,15,0,14.3
295374.85,32.22791667,33.6,16.2,0,18.4
50055.11,32.28708333,18.5,11.8,0,11.2
64701.46,32.30583333,19.7,8.1,0,9
222835.26,32.32958333,19.6,8.5,0,9.8
47950.99,32.34833333,20.8,15.6,0,7.2
276135.16,32.429375,24.7,13.4,0,16.4
355660.89,32.44333333,22.1,13.4,9.6,9.6
276155.04,32.50541667,22.8,11.1,0,15.2
339111.35,32.52333333,23.7,18.8,72.6,0.8
396667.55,32.53166667,21.6,8.9,0.1,11
272650.65,32.57479167,24.3,15.6,0,12.4
237678.19,32.58854167,19.5,8,0,11.6
338626.15,32.65270833,28.4,15.2,0,16.6
290047.84,32.694375,27.7,17.3,0,22.3
288188.67,32.76645833,23.3,14.6,0,10.9
45760.36,32.77375,21.6,9.5,0,11
268201.39,32.77395833,27,11.9,0,18.2
362491.69,32.845,25,12,0,11
54920.51,32.92958333,13,6.7,0,6.3
219289.39,32.93729167,16.9,12.8,2,8.5
51423.78,33.00416667,27.1,14.3,0.1,15.5
74997.21,33.12229167,14.6,-0.3,0,13.3
260874.65,33.220625,16.9,4.6,0,9.1
55956.36,33.225625,12.5,5.2,4,4.5
331538.71,33.2475,18.2,11.5,0,13.1
379272.22,33.27708333,19.6,10.3,5.4,7.8
266086.58,33.30458333,27.2,11.1,0,19.8
279156.01,33.35916667,18,14.3,0.4,8.6
291281.39,33.38541667,23.2,14.8,0,10.2
67846.3,33.38729167,15.2,10.4,1.2,7.7
296557.97,33.45458333,29.5,17.8,0,23.2
57210.84,33.50979167,10,6.2,0,4.5
281887.88,33.51333333,23.9,11.9,0,13.3
54136.99,33.545625,14,8.8,0,10.9
258685.07,33.55729167,24.1,10.2,0,15.5
290624.03,33.56770833,22.9,9.7,0,13.7
66234.83,33.57208333,14.5,9.7,12.6,9.9
361817.55,33.59541667,23.8,11.2,0,13.6
345933.53,33.60854167,20.1,12.8,0,14
274787.77,33.68,25.1,10.3,0,16.5
273677.53,33.7075,28.4,19.4,0.2,15.2
194899.37,33.80729167,18.3,12.1,0.2,15.2
73509.05,33.82958333,16.4,12.7,1.4,6.1
318754.5,33.84125,20,13.1,10.6,13.2
265172.84,33.871875,22.7,11.9,0,13.5
215110.38,33.92145833,14.5,7.2,1,9
263223.21,33.940625,24.1,14.7,11.6,14.6
407228.07,33.97958333,20.1,8.7,0,10.7
281628.87,34.00395833,24.4,14,0,12.7
266531.87,34.05666667,24.4,13.4,0.2,15.5
49767.46,34.0975,21.2,10.5,0,5.1
60589.6,34.1325,22.5,11.5,0,9
49474,34.14270833,23.7,13.4,0,18
271603.54,34.2475,23,12.3,0,12.1
45759.43,34.26958333,25.4,12,0,9.2
49522.07,34.38479167,22.7,18.7,0.2,16
60261.36,34.393125,19.2,8.1,0.2,13
413898.88,34.39645833,22.4,8,0,11.1
396559.91,34.48104167,24.2,10.1,0,11.1
49077.87,34.528125,19.7,10.9,0,19.8
273588.08,34.575625,28,18.6,2.8,19.5
294688.3,34.58770833,26.5,17.4,5.2,16
429540.55,34.591875,19.1,8.2,2.2,10.1
219338.71,34.699375,15,9.8,2,8.3
273987.67,34.79125,23.5,15.9,34.2,12.1
201475.67,34.8175,19.4,11.2,0,11.3
69906.79,34.83708333,16,8.9,0.6,8.8
285863.73,34.89125,29.4,16.9,0,17
287174.56,34.913125,21.8,8.4,0,14.8
45580.82,34.92145833,20.1,15.4,24,15.5
273215.99,34.93020833,22.8,11,0,15.6
283765.9,34.97875,22.8,11.6,0,14
268046.7,34.98395833,24.2,10.4,0,14.1
285703.35,35.04833333,21.7,12.6,0.2,15.8
53999.5,35.106875,13.1,6.8,3.4,4
70247.36,35.120625,16.4,11.5,0.6,8.2
264950.05,35.159375,23.9,14.7,3.4,10.6
290262.57,35.21375,26.7,20.1,0,15.1
295710.06,35.21604167,27.8,22.7,,14.5
295084.65,35.23354167,27.6,19.3,8.4,22.3
58270,35.25333333,12.4,10.9,2.8,2.3
284482.64,35.26416667,18.8,9.8,0,14.7
58911.6,35.31833333,11.6,5.5,0,6.1
391142.32,35.32041667,18.4,7.7,0.4,11.1
