,Unnamed: 0,Period start,Period end,Region ID,Region description,Average_Consumption,Coverage_Percentage,Total_Rainfall,Avg_Mean_Temp,Avg_Max_Temp,Avg_Min_Temp,Avg_Vapor_Pressure,Total_Rain_Days
1897,1897,2019-12-01,31/12/2019,14,Otago,519.0,94.12,115.6,14.1,18.1,10.1,10.7,19.0
1898,1898,2020-01-01,31/01/2020,14,Otago,482.0,88.48,33.8,15.3,18.6,12.0,12.1,11.0
2007,2007,2018-07-01,31/07/2018,15,Southland,971.0,92.52,97.0,7.2,11.3,3.0,8.1,22.0
2008,2008,2018-08-01,31/08/2018,15,Southland,908.0,91.7,56.8,7.3,12.0,2.6,8.6,15.0
2009,2009,2018-09-01,30/09/2018,15,Southland,764.0,94.57,62.4,8.7,13.5,3.8,9.3,12.0
2010,2010,2018-10-01,31/10/2018,15,Southland,710.0,94.57,76.6,10.2,14.7,5.7,9.9,21.0
2013,2013,2019-01-01,31/01/2019,15,Southland,493.0,95.0,163.6,15.6,20.2,10.9,13.8,23.0
2014,2014,2019-02-01,28/02/2019,15,Southland,462.0,94.91,62.4,15.0,19.8,10.1,12.6,19.0
2015,2015,2019-03-01,31/03/2019,15,Southland,537.0,95.0,49.8,15.0,20.2,9.9,14.0,12.0
2016,2016,2019-04-01,30/04/2019,15,Southland,594.0,94.98,91.5,10.3,15.3,5.4,10.4,17.0
2017,2017,2019-05-01,31/05/2019,15,Southland,747.0,95.15,128.5,10.5,14.0,6.9,10.9,22.0
2018,2018,2019-06-01,30/06/2019,15,Southland,823.0,95.15,97.2,7.2,11.0,3.4,8.5,20.0
2019,2019,2019-07-01,31/07/2019,15,Southland,911.0,95.13,65.4,6.9,10.9,2.9,8.5,20.0
2020,2020,2019-08-01,31/08/2019,15,Southland,915.0,95.22,142.7,7.0,11.1,2.9,8.2,24.0
2021,2021,2019-09-01,30/09/2019,15,Southland,797.0,95.2,91.1,8.4,13.0,3.8,9.0,21.0
2022,2022,2019-10-01,31/10/2019,15,Southland,740.0,95.22,136.7,9.9,13.6,6.1,9.6,23.0
2023,2023,2019-11-01,30/11/2019,15,Southland,599.0,95.19,89.4,13.1,18.0,8.1,11.8,19.0
2025,2025,2020-01-01,31/01/2020,15,Southland,537.0,85.39,58.8,14.7,18.9,10.4,12.6,13.0
